Population_group,Population_Categorisation,population,TDS_FC_Code,TDS_FC_label,NumRespondents,PercentConsumers,Mean_grams_per_kilogrambodyweight_per_day,Mean_flag,Mean_SE,Mean_LCL,Mean_UCL,Mean_CV,P50,P50_flag,P50_SE,P50_LCL,P50_UCL,P50_CV,P90,P90_flag,P90_SE,P90_LCL,P90_UCL,P90_CV,P95,P95_flag,P95_SE,P95_LCL,P95_UCL,P95_CV
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,FF14,pancakes & waffles,3161,7.8,0.17,,0.02,0.13,0.21,11.76,0,,1.19,0,2.35,0,0,,0.32,0,0.64,0,1.56,E,0.28,1.02,2.11,17.95
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,FF15,pasta_mixed dishes,3161,10.6,0.85,,0.1,0.65,1.05,11.76,0,,3.57,0,7.01,0,,F,,,,66.36,6.99,,0.68,5.66,8.32,9.73
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,FF16,pasta_plain,3161,22.5,0.95,,0.07,0.81,1.1,7.37,0,,0.79,0,1.55,0,3.61,,0.3,3.01,4.21,8.31,6.34,,0.59,5.17,7.51,9.31
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,FF17,pie_apple,3161,0.6,10,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,FF18,pie_other,3161,0.9,0.01,,0,0.01,0.02,0,0,,27.38,0,53.79,0,0,,8.01,0,15.74,0,0,,6.43,0,12.64,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,FF19,rice,3161,27.2,1.09,,0.08,0.94,1.24,7.34,0,,0.56,0,1.1,0,4.29,,0.3,3.7,4.88,6.99,5.96,,0.47,5.05,6.88,7.89
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,FF20,buns & rolls,3161,3.8,0.05,E,0.01,0.03,0.07,20,0,,7.09,0,13.93,0,0,,0.4,0,0.78,0,0,,0.25,0,0.5,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,FF21,breads_other,3161,17.1,0.44,,0.04,0.36,0.53,9.09,0,,0.76,0,1.49,0,1.75,,0.18,1.39,2.1,10.29,3.03,,0.19,2.66,3.39,6.27
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG01,baked beans_canned,3161,0.6,10,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG02,beans_string,3161,6.5,0.07,,0.01,0.05,0.09,14.29,0,,1.31,0,2.57,0,0,,0.15,0,0.29,0,,F,,,,40.74
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG03,beets,3161,0.4,10,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG04,broccoli,3161,9.2,0.16,,0.02,0.12,0.2,12.5,0,,0.7,0,1.37,0,0,,0.09,0,0.19,0,0.99,E,0.2,0.59,1.39,20.2
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG05,cabbage,3161,5.4,0.07,E,0.02,0.04,0.1,28.57,0,,1.33,0,2.61,0,0,,0.08,0,0.15,0,,F,,,,66.67
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG06,carrots,3161,27.2,0.34,,0.03,0.29,0.4,8.82,0,,0.09,0,0.18,0,1.05,,0.16,0.74,1.36,15.24,2.28,,0.22,1.85,2.71,9.65
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG07,cauliflowers,3161,3.3,0.05,E,0.01,0.03,0.06,20,0,,7.75,0,15.23,0,0,,0.66,0,1.29,0,0,,0.24,0,0.47,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG08,celery,3161,12.6,0.04,E,0.01,0.03,0.06,25,0,,0.11,0,0.22,0,,F,,,,33.33,0.25,,0.02,0.2,0.3,8
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG09,corn,3161,7,0.12,E,0.02,0.08,0.15,16.67,0,,1.54,0,3.02,0,0,,0.16,0,0.31,0,0.54,E,0.16,0.22,0.86,29.63
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG10,cucumbers,3161,18.9,0.43,,0.05,0.33,0.53,11.63,0,,0.24,0,0.48,0,1.02,E,0.17,0.69,1.36,16.67,2.73,,0.26,2.22,3.23,9.52
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG11,lettuce,3161,13.2,0.1,,0.01,0.07,0.12,10,0,,0.2,0,0.39,0,,F,,,,35,0.64,,0.08,0.49,0.79,12.5
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG12,mushrooms,3161,6.2,0.03,,0,0.02,0.04,0,0,,0.58,0,1.15,0,0,,0.06,0,0.12,0,,F,,,,42.86
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG13,onions,3161,29.4,0.15,,0.01,0.12,0.17,6.67,0,,0.03,0,0.05,0,0.44,,0.04,0.37,0.52,9.09,0.8,,0.07,0.67,0.93,8.75
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG14,peas,3161,6.7,0.08,E,0.02,0.05,0.12,25,0,,0.75,0,1.48,0,0,,0.1,0,0.21,0,,F,,,,37.5
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG15,peppers,3161,12.6,0.1,,0.01,0.08,0.13,10,0,,0.19,0,0.37,0,,F,,,,57.14,0.5,E,0.11,0.29,0.72,22
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG16,potatoes_boiled,3161,16.9,0.37,,0.03,0.31,0.44,8.11,0,,0.36,0,0.72,0,0.92,E,0.16,0.61,1.23,17.39,2.45,,0.25,1.96,2.95,10.2
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG17,potatoes_chips,3161,11,0.1,,0.01,0.08,0.12,10,0,,0.47,0,0.91,0,,F,,,,47.06,0.71,,0.07,0.57,0.85,9.86
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG18,rutabaga,3161,0.9,0.01,,0,0,0.01,0,0,,20.1,0,39.5,0,0,,7.12,0,13.99,0,0,,4.91,0,9.64,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG19,vegetable juice_canned,3161,1.2,0.07,E,0.02,0.03,0.12,28.57,0,,50.46,0,99.14,0,0,,19.26,0,37.83,0,0,,11.2,0,22.01,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG20,tomatoes,3161,15.8,0.33,,0.04,0.25,0.4,12.12,0,,0.39,0,0.76,0,0.64,E,0.14,0.37,0.91,21.88,2.04,,0.24,1.56,2.51,11.76
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG21,tomatoes and tomato sauce_canned,3161,15.7,0.53,,0.06,0.41,0.65,11.32,0,,0.75,0,1.48,0,1.8,,0.28,1.25,2.36,15.56,3.64,,0.47,2.73,4.56,12.91
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG22,spinach,3161,4.7,10,F,,,,33.33,0,,2.6,0,5.1,0,0,,0.21,0,0.41,0,0,,0.06,0,0.13,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG23,asparagus,3161,1,10,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG24,brussel sprouts,3161,0.4,10,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG26,potatoes_baked,3161,3.5,0.18,E,0.05,0.08,0.28,27.78,0,,41.54,0,81.61,0,0,,1.36,0,2.67,0,0,,0.36,0,0.71,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,GG27,corn chips,3161,6,0.07,,0.01,0.04,0.1,14.29,0,,0.59,0,1.16,0,0,,0.12,0,0.24,0,0.36,E,0.11,0.14,0.57,30.56
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,HH01,apple juice_canned,3161,13.8,1.38,,0.13,1.12,1.64,9.42,0,,2.22,0,4.36,0,4.82,E,1,2.85,6.78,20.75,10.61,,0.88,8.89,12.34,8.29
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,HH02,applesauce_canned,3161,5.6,0.3,,0.04,0.23,0.38,13.33,0,,4.91,0,9.64,0,0,,0.87,0,1.71,0,1.8,E,0.57,0.68,2.91,31.67
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,HH03,apples,3161,27.9,1.5,,0.09,1.33,1.67,6,0,,0.88,0,1.73,0,5.72,,0.36,5,6.44,6.29,8.37,,0.38,7.62,9.11,4.54
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,HH04,bananas,3161,23.3,0.87,,0.06,0.76,0.99,6.9,0,,1.15,0,2.27,0,3.37,,0.25,2.88,3.86,7.42,5.55,,0.31,4.94,6.16,5.59
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,HH05,blueberries,3161,8,0.2,,0.03,0.14,0.26,15,0,,1.85,0,3.63,0,0,,0.18,0,0.36,0,,F,,,,36.45
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,HH06,cherries,3161,1.9,10,F,,,,33.33,0,,77.71,0,152.68,0,0,,17.24,0,33.86,0,0,,5.82,0,11.44,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,HH07,citrus fruit_raw,3161,19.1,0.71,,0.06,0.58,0.83,8.45,0,,0.45,0,0.89,0,2.77,,0.36,2.07,3.47,13,5.02,,0.3,4.43,5.62,5.98
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,HH08,citrus juice_frozen,3161,0.9,10,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,HH09,citrus juice_canned,3161,16,1.31,,0.12,1.07,1.54,9.16,0,,2.14,0,4.2,0,5.5,,0.52,4.49,6.52,9.45,9.01,,0.73,7.57,10.45,8.1
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,HH10,grape juice_bottled,3161,1.1,10,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,HH11,grapes,3161,13.2,0.39,,0.04,0.31,0.47,10.26,0,,1.57,0,3.09,0,1.03,E,0.28,0.48,1.57,27.18,2.72,,0.43,1.88,3.56,15.81
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,HH12,melons,3161,7.3,0.66,,0.09,0.48,0.84,13.64,0,,4.48,0,8.8,0,0,,0.83,0,1.63,0,3.75,E,0.86,2.06,5.44,22.93
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,HH13,peaches,3161,3.2,0.13,,0.02,0.09,0.18,15.38,0,,22.9,0,44.99,0,0,,1.64,0,3.23,0,0,,0.71,0,1.39,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,HH14,pears,3161,3.9,0.18,E,0.03,0.11,0.24,16.67,0,,15.09,0,29.65,0,0,,1.18,0,2.32,0,0,,0.69,0,1.35,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,HH15,pineapple,3161,3.4,0.11,E,0.02,0.06,0.15,18.18,0,,19.96,0,39.21,0,0,,1.29,0,2.53,0,0,,0.4,0,0.79,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,HH16,plums and prunes,3161,1.8,10,F,,,,37.5,0,,65.74,0,129.17,0,0,,17.51,0,34.41,0,0,,6.12,0,12.02,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,HH17,raisins,3161,2.3,10,F,,,,60,0,,51.2,0,100.6,0,0,,2.66,0,5.22,0,0,,0.24,0,0.47,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,HH18,raspberries,3161,4.5,0.08,E,0.02,0.04,0.11,25,0,,4.4,0,8.64,0,0,,0.25,0,0.49,0,0,,0.09,0,0.17,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,HH19,strawberries,3161,15.2,0.46,,0.07,0.32,0.6,15.22,0,,0.53,0,1.05,0,1.28,E,0.22,0.84,1.72,17.19,3.08,,0.41,2.26,3.89,13.31
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,HH20,kiwi fruit,3161,2.6,0.09,E,0.02,0.04,0.13,22.22,0,,43.29,0,85.05,0,0,,5.68,0,11.16,0,0,,1.61,0,3.16,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,HH21,apricot,3161,0.5,10,F,,,,,,F,,,,,,F,,,,,,F,,,,
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,HH22,fruit drinks (cocktails),3161,16.4,1.6,,0.12,1.37,1.84,7.5,0,,2.71,0,5.32,0,6.88,,0.61,5.67,8.08,8.87,10.86,,0.54,9.8,11.92,4.97
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,II01,cooking fats & salad oils,3161,25.6,0.05,E,0.01,0.04,0.06,20,0,,0.03,0,0.06,0,0.14,,0.02,0.11,0.17,14.29,0.3,E,0.05,0.2,0.4,16.67
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,II02,margarine,3161,20.4,0.04,,0,0.04,0.05,0,0,,0.03,0,0.06,0,0.15,,0.01,0.12,0.18,6.67,0.27,,0.02,0.24,0.3,7.41
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,II04,mayonnaise,3161,3.8,0.02,,0,0.01,0.02,0,0,,1.75,0,3.44,0,0,,0.12,0,0.24,0,0,,0.05,0,0.1,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,II07,salad dressing,3161,10.4,0.06,E,0.01,0.04,0.07,16.67,0,,0.14,0,0.27,0,,F,,,,44.44,0.41,,0.05,0.31,0.51,12.2
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,JJ01,chocolate bars,3161,14.7,0.13,,0.01,0.1,0.15,7.69,0,,0.15,0,0.3,0,0.29,E,0.05,0.19,0.4,17.24,0.84,,0.09,0.67,1.01,10.71
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,JJ03,gelatin dessert,3161,0.7,0.01,,0,0,0.02,0,0,,32.17,0,63.2,0,0,,8.67,0,17.03,0,0,,5.6,0,11,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,JJ04,honey_bottled,3161,2.3,0.01,,0,0.01,0.02,0,0,,6.64,0,13.05,0,0,,0.43,0,0.85,0,0,,0.11,0,0.22,0
All people,Adults(19+ yr)_Children (1-18 yr)_M_F separate,1-18 yr F,JJ05,jams,3161,6.9,0.05,E,0.01,0.03,0.06,20,0,,0.35,0,0.68,0,0,,0.07,0,0.13,0,0.25,E,0.06,0.14,0.37,24
